lap_id,turn_number,flat_out,position_entry,position_exit,braking_start_dist,braking_start_speed,braking_start_gear,time_at_braking_ms,gap_behind_at_entry,entry_dist,entry_speed,entry_gear,time_at_entry_ms,apex_dist,apex_speed,apex_gear,time_at_apex_ms,exit_dist,exit_speed,exit_gear,time_at_exit_ms,gap_behind_at_exit,throttle_committed_dist,throttle_committed_speed,throttle_committed_gear,time_at_throttle_committed_ms,time_in_turn_ms,max_brake_before_apex,max_throttle_after_apex,battery_deployed_prev_straight,battery_overtake_deployed_prev_straight,lockups,spins,lockups_front_minor,lockups_front_medium,lockups_front_severe,lockups_rear_minor,lockups_rear_medium,lockups_rear_severe,spins_minor,spins_medium,spins_severe,in_traffic,retried_with_flashback,tyre_temps_entry,tyre_temps_apex,tyre_temps_exit,tyre_carcass_temps,brake_bias,differential,off_throttle_diff,engine_braking,turn_series_distances,turn_series_times,turn_positions,turn_speeds,turn_brakes,turn_throttles,turn_gears,turn_wheel_angles,turn_slip_ratios,turn_yaw_rates,turn_longitudinal_g
AbuDhabi_Race_Feb01_001_L1,RaceStart,False,1,1,0.0,0.0,0,0,0.0,106.98983001708984,1,1,383,171.0806884765625,139,3,3949,299.1492004394531,233,5,6350,0.216,172.38331604003906,141,3,3966,5969,0,100,0.0,0.0,0,2,0,0,0,0,0,0,0,1,1,False,False,72|72|73|73,63|63|91|91,54|54|82|82,83|83|84|84,58,30,55,50,106|117|127|137|147|157|167|177|187|197|207|217|227|238|248|258|268|278|288|299,383|1866|2449|2883|3233|3566|3866|4116|4333|4566|4783|4983|5166|5366|5533|5716|5883|6033|6200,-130.9;-0.0|-126.3;9.2|-121.8;18.3|-117.3;27.4|-113.2;36.2|-108.6;45.6|-104.1;54.7|-99.7;63.5|-95.3;72.5|-90.9;81.4|-85.9;91.6|-81.8;99.9|-77.2;109.3|-72.8;118.3|-68.7;126.7|-64.0;136.3|-59.6;145.2|-55.1;154.4|-51.0;162.9,1|49|75|93|105|120|135|148|160|169|178|184|193|199|205|211|218|223|228,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,54|84|94|54|83|100|100|97|100|100|100|100|100|100|100|100|100|100|100,1|1|1|2|2|2|2|3|3|3|3|4|4|4|4|5|5|5|5,0.0005|-0.0002|-0.0000|-0.0034|-0.0069|-0.0017|-0.0001|0.0018|0.0006|-0.0006|0.0000|0.0001|0.0002|0.0002|0.0003|-0.0005|0.0004|-0.0000|-0.0008,3.441;3.443;-0.003;-0.003|0.090;0.093;-0.003;-0.002|0.333;0.339;-0.001;-0.001|0.422;0.435;-0.001;-0.001|0.053;0.049;-0.001;-0.001|0.109;0.104;-0.002;-0.001|0.109;0.107;-0.002;-0.001|0.095;0.101;-0.001;-0.002|0.052;0.053;-0.001;-0.001|0.038;0.038;-0.001;-0.001|0.029;0.029;-0.001;-0.001|0.052;0.052;-0.001;-0.001|0.035;0.036;-0.001;-0.001|0.032;0.033;-0.001;-0.001|0.030;0.030;-0.001;-0.001|0.041;0.041;-0.001;-0.001|0.029;0.029;-0.001;-0.001|0.027;0.027;-0.001;-0.001|0.026;0.026;-0.001;-0.001,0.011|-0.001|-0.000|-0.001|0.004|0.001|-0.001|0.000|-0.011|0.038|0.006|0.006|-0.001|0.001|0.000|0.003|0.003|0.014|0.010,0.93|1.21|1.22|1.21|1.14|1.41|1.48|1.54|1.30|1.22|0.93|1.49|1.11|1.04|0.98|0.98|0.95|0.91|0.85
AbuDhabi_Race_Feb01_001_L1,1,False,1,1,333.6564025878906,246,6,6883,0.216,300.23077392578125,233,5,6383,446.6839904785156,127,4,9150,517.0842895507812,183,5,10850,0.85,456.2042236328125,128,4,9450,4493,55,100,8.8,8.8,0,0,0,0,0,0,0,0,0,0,0,False,False,54|54|82|82,72|106|73|91,64|88|74|87,82|83|85|85,58,30,55,50,300|310|322|333|345|356|367|379|390|402|413|425|436|447|459|470|482|493|504|517,6383|6550|6716|6900|7050|7233|7416|7616|7816|8033|8250|8500|8850|9216|9533|9833|10116|10366|10616,-45.8;173.5|-40.5;184.3|-35.5;194.3|-29.8;205.4|-24.7;214.1|-18.7;223.2|-11.0;232.7|-3.0;240.7|5.4;247.3|13.9;252.3|23.1;256.2|33.9;259.0|47.0;259.9|59.4;257.9|70.5;253.7|80.7;248.9|90.9;243.4|100.5;237.9|110.7;231.8,233|238|243|245|239|228|212|197|185|172|158|143|131|127|130|141|153|164|174,0|0|0|16|24|52|37|26|21|20|19|14|0|0|0|0|0|0|0,100|100|100|72|24|0|0|0|0|0|0|0|28|34|82|98|100|100|100,5|5|6|6|6|5|5|4|4|4|4|4|4|4|4|4|4|5|5,-0.0005|-0.0015|-0.0044|-0.0329|-0.0326|-0.0557|-0.0750|-0.0949|-0.1163|-0.1594|-0.1960|-0.2233|-0.1712|-0.0712|-0.0203|-0.0108|-0.0058|-0.0002|-0.0028,0.026;0.026;-0.001;-0.001|0.025;0.024;-0.001;-0.001|0.022;0.020;-0.001;-0.001|0.008;0.004;-0.007;-0.004|-0.005;-0.007;-0.014;-0.006|-0.011;-0.007;-0.075;-0.016|-0.022;-0.020;-0.132;-0.013|-0.014;-0.005;-0.088;-0.010|-0.010;-0.014;-0.074;-0.010|-0.013;-0.015;-0.087;-0.014|-0.015;-0.015;-0.102;-0.019|-0.008;-0.012;-0.080;-0.015|0.029;0.005;0.003;0.000|0.024;0.009;-0.000;-0.000|0.042;0.028;-0.001;-0.001|0.074;0.056;-0.002;-0.001|0.088;0.071;-0.002;-0.001|0.084;0.077;-0.001;-0.001|0.042;0.040;-0.001;-0.001,0.001|0.002|0.001|0.032|0.007|-0.012|-0.006|0.024|0.035|0.019|0.002|0.006|0.003|0.028|0.007|0.000|0.004|0.015|-0.011,0.82|0.77|0.69|-0.46|-1.26|-2.12|-2.03|-1.90|-1.59|-1.62|-1.59|-1.41|-0.42|-0.12|0.76|1.18|1.30|1.34|1.04
AbuDhabi_Race_Feb01_001_L1,2,True,1,1,0.0,0.0,0,0,0.75,580.1857299804688,222,6,11966,661.4779052734375,242,6,13233,715.9091186523438,255,6,13999,0.6,700.6441650390625,251,6,13783,2034,0,100,8.8,8.6,0,0,0,0,0,0,0,0,0,0,0,False,False,59|77|73|82,64|91|80|94,64|90|80|95,82|84|85|86,58,30,55,50,580|586|594|601|608|615|622|629|636|644|651|658|665|672|679|687|694|701|708|715,11966|12083|12216|12316|12433|12549|12666|12783|12899|12999|13099|13199|13299|13399|13499|13599|13699|13799|13899,173.1;190.8|178.7;186.3|184.3;181.5|189.6;176.4|194.7;170.9|199.6;165.2|204.1;159.1|208.5;152.8|212.5;146.2|215.6;140.3|218.4;134.2|220.9;128.0|223.1;121.6|224.9;115.1|226.3;108.5|227.6;101.7|228.5;94.9|229.3;88.0|230.0;81.0,222|225|227|229|231|233|235|237|239|240|241|242|243|244|245|247|249|251|253,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100,6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6,-0.0230|-0.0390|-0.0474|-0.0427|-0.0303|-0.0355|-0.0356|-0.0325|-0.0460|-0.0520|-0.0554|-0.0501|-0.0395|-0.0282|-0.0269|-0.0227|-0.0152|-0.0101|-0.0085,0.038;0.028;-0.001;-0.001|0.042;0.026;-0.001;-0.001|0.055;0.030;-0.001;-0.001|0.060;0.035;-0.001;-0.001|0.059;0.028;-0.003;0.000|0.038;0.023;-0.006;-0.000|0.056;0.029;-0.001;-0.001|0.034;0.021;-0.001;-0.001|0.043;0.022;-0.001;-0.001|0.044;0.022;-0.001;-0.000|0.052;0.025;-0.001;-0.000|0.061;0.028;-0.001;-0.000|0.051;0.024;-0.001;-0.000|0.048;0.025;-0.001;-0.000|0.048;0.027;-0.001;-0.001|0.040;0.025;-0.001;-0.001|0.034;0.023;-0.001;-0.001|0.028;0.021;-0.001;-0.001|0.027;0.022;-0.001;-0.001,0.011|-0.009|0.000|0.093|-0.021|-0.076|-0.103|-0.021|-0.032|-0.010|-0.012|-0.028|-0.014|-0.044|-0.073|-0.026|0.008|-0.011|-0.037,0.80|0.70|0.64|0.61|0.57|1.03|0.75|0.60|0.56|0.46|0.43|0.39|0.47|0.49|0.57|0.59|0.65|0.64|0.64
AbuDhabi_Race_Feb01_001_L1,3,True,1,1,0.0,0.0,0,0,0.6,724.2445068359375,258,6,14116,898.5008544921875,253,7,16433,999.1272583007812,264,7,17849,1.2,838.3993530273438,261,7,15616,3734,0,100,9.8,9.8,0,0,0,0,0,0,0,0,0,0,0,False,False,63|89|80|94,120|89|108|95,113|81|103|88,83|85|86|87,58,30,55,50,724|738|752|767|781|796|810|825|839|854|868|883|897|912|926|941|955|969|984|999,14116|14316|14516|14716|14899|15083|15266|15449|15649|15833|16033|16233|16433|16649|16833|17066|17249|17449|17649,231.0;65.6|231.8;51.2|232.8;36.6|234.3;21.8|236.5;8.3|239.7;-5.0|244.1;-17.9|249.7;-30.2|257.2;-42.8|265.1;-53.4|274.9;-63.9|285.8;-73.1|297.5;-80.9|309.9;-87.5|322.9;-92.8|338.6;-97.2|351.4;-99.6|365.5;-101.3|379.9;-102.6,258|262|265|267|268|268|267|264|261|259|257|254|253|252|252|253|255|258|261,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100,6|6|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7,-0.0014|0.0059|0.0155|0.0285|0.0348|0.0590|0.0791|0.0955|0.1000|0.0936|0.0910|0.1074|0.1002|0.0769|0.0528|0.0318|0.0222|0.0096|-0.0001,0.023;0.021;-0.001;-0.001|0.018;0.019;-0.000;-0.000|0.017;0.020;-0.000;-0.000|0.015;0.022;-0.000;-0.000|0.015;0.027;-0.000;-0.000|0.016;0.033;-0.000;0.000|0.021;0.050;0.000;0.001|0.027;0.056;-0.000;0.002|0.021;0.041;-0.000;0.000|0.018;0.039;-0.000;0.001|0.022;0.048;-0.000;0.001|0.022;0.048;-0.000;0.001|0.022;0.044;-0.000;-0.000|0.020;0.040;-0.000;-0.000|0.018;0.034;-0.000;-0.001|0.017;0.029;-0.000;-0.001|0.017;0.026;-0.000;-0.001|0.018;0.022;-0.000;-0.001|0.017;0.019;-0.000;-0.001,-0.034|-0.017|-0.004|0.014|0.163|0.082|-0.055|0.044|-0.024|0.000|0.011|-0.011|-0.018|-0.022|0.000|-0.014|-0.044|-0.029|-0.017,0.61|0.52|0.38|0.30|0.21|0.04|-0.08|-0.14|-0.05|-0.05|-0.06|-0.05|0.04|0.13|0.23|0.34|0.40|0.45|0.48
AbuDhabi_Race_Feb01_001_L1,4,True,1,1,0.0,0.0,0,0,1.2,1002.8713989257812,265,7,17899,1070.7525634765625,277,7,18783,1151.4097900390625,287,7,19799,1.3,1035.8084716796875,271,7,18333,1896,0,100,4.7,0.9,0,0,0,0,0,0,0,0,0,0,0,False,False,112|80|102|88,98|74|92|82,85|67|82|77,84|85|87|87,58,30,55,50,1002|1010|1018|1026|1034|1041|1049|1057|1065|1073|1080|1088|1096|1104|1112|1119|1127|1135|1143|1151,17899|18016|18116|18216|18316|18416|18516|18616|18716|18816|18933|19033|19116|19216|19316|19433|19516|19599|19699,398.2;-104.0|406.8;-104.7|414.2;-105.4|421.6;-106.1|429.1;-106.9|436.6;-107.8|444.1;-108.8|451.7;-110.0|459.2;-111.4|466.7;-113.0|474.3;-114.7|481.8;-116.6|489.3;-118.7|496.8;-120.9|504.3;-123.2|511.7;-125.6|519.2;-128.1|525.5;-130.3|533.0;-133.0,265|267|268|270|271|272|274|275|276|277|278|279|280|281|282|283|285|285|286,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100,7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7,-0.0014|-0.0045|-0.0065|-0.0089|-0.0088|-0.0099|-0.0153|-0.0140|-0.0138|-0.0143|-0.0109|-0.0090|-0.0089|-0.0078|-0.0065|-0.0056|-0.0050|-0.0050|-0.0053,0.017;0.017;-0.000;-0.000|0.019;0.017;-0.000;-0.000|0.019;0.016;-0.000;-0.000|0.019;0.016;-0.000;-0.000|0.020;0.016;-0.000;-0.000|0.019;0.015;-0.000;-0.000|0.022;0.016;-0.000;-0.000|0.019;0.014;-0.000;-0.000|0.019;0.015;-0.000;-0.000|0.019;0.015;-0.000;-0.000|0.018;0.015;-0.000;-0.000|0.017;0.015;-0.000;-0.000|0.017;0.015;-0.000;-0.000|0.016;0.014;-0.000;-0.000|0.016;0.014;-0.000;-0.000|0.016;0.014;-0.000;-0.000|0.016;0.015;-0.000;-0.000|0.016;0.015;-0.000;-0.000|0.015;0.014;-0.000;-0.000,0.006|-0.031|-0.085|0.026|0.002|-0.007|-0.025|-0.011|-0.003|0.014|-0.011|0.024|0.021|0.035|0.023|0.007|0.005|0.028|0.035,0.44|0.43|0.36|0.42|0.39|0.39|0.36|0.34|0.34|0.33|0.32|0.34|0.33|0.32|0.31|0.31|0.30|0.30|0.28
AbuDhabi_Race_Feb01_001_L1,5,False,1,1,1316.9376220703125,301,8,21804,1.35,1314.1466064453125,302,8,21771,1483.203125,86,2,25238,1580.800048828125,185,4,28121,1.933,1501.39111328125,94,2,26038,6949,100,100,3.3,0.0,1,0,0,1,0,0,0,0,0,0,0,False,False,70|59|72|69,83|101|65|77,68|80|71|78,85|86|88|88,58,30,55,50,1314|1327|1341|1355|1369|1383|1397|1412|1426|1440|1454|1468|1482|1496|1510|1524|1538|1552|1566|1580,21771|21938|22138|22321|22538|22788|23054|23354|23621|23938|24254|24671|25204|25821|26388|26838|27204|27538|27838,690.4;-199.3|703.0;-204.9|716.0;-210.9|728.8;-217.1|741.0;-223.8|752.4;-231.5|764.0;-241.6|773.3;-251.9|780.1;-262.2|785.2;-273.2|787.6;-283.2|787.2;-294.8|781.6;-306.6|769.7;-315.4|755.4;-319.1|740.8;-320.5|726.4;-320.7|712.4;-320.4|698.6;-319.7,302|292|268|241|221|204|186|166|148|127|109|93|87|89|107|126|143|158|172,3|72|100|91|53|42|42|45|37|36|21|0|0|0|0|0|0|0|0,100|9|0|0|0|0|0|0|0|0|0|13|32|51|84|93|100|100|100,8|8|8|7|7|6|5|4|3|2|2|2|2|2|2|3|3|3|4,-0.0007|-0.0041|-0.0078|-0.0178|-0.0372|-0.0519|-0.0452|-0.0822|-0.1255|-0.1767|-0.2392|-0.2763|-0.2077|-0.0770|-0.0347|-0.0129|-0.0062|-0.0069|-0.0060,0.011;0.011;-0.001;-0.001|-0.018;-0.017;-0.018;-0.017|-0.033;-0.031;-0.034;-0.028|-0.036;-0.032;-0.047;-0.026|-0.022;-0.022;-0.043;-0.014|-0.017;-0.018;-0.074;-0.012|-0.033;-0.026;-0.131;-0.015|-0.036;-0.029;-0.170;-0.020|-0.019;-0.016;-0.314;-0.033|-0.009;-0.011;-0.268;-0.036|-0.006;-0.015;-0.124;-0.022|0.031;0.001;0.006;0.001|0.087;0.013;0.001;-0.000|0.090;0.025;-0.003;-0.000|0.101;0.053;-0.002;-0.001|0.069;0.053;-0.002;-0.001|0.050;0.050;-0.001;-0.001|0.053;0.044;-0.001;-0.001|0.051;0.046;-0.001;-0.001,-0.003|0.031|0.017|-0.004|-0.023|0.024|-0.032|-0.044|-0.035|-0.020|-0.020|0.020|0.003|0.019|0.009|-0.010|-0.022|0.021|-0.023,0.01|-3.03|-3.90|-3.59|-2.30|-1.94|-1.92|-1.99|-1.38|-1.42|-1.50|-0.65|-0.13|0.50|1.18|1.35|1.28|1.20|1.32
AbuDhabi_Race_Feb01_001_L1,6,False,1,1,2512.936279296875,317,8,39954,1.884,2531.610595703125,299,8,40171,2658.0947265625,78,2,43137,2697.761962890625,101,2,44554,1.883,2682.247802734375,83,2,43937,4948,100,79,17.7,7.8,1,0,1,0,0,0,0,0,0,0,0,False,False,43|44|53|54,58|65|58|62,58|66|63|69,85|86|88|90,58,30,55,50,2512|2539|2548|2556|2565|2574|2583|2592|2600|2609|2618|2627|2635|2644|2653|2662|2671|2679|2688|2697,40171|40271|40404|40521|40654|40787|40937|41087|41271|41487|41704|41971|42254|42587|42987|43254|43471|43821|44204,-265.5;-306.2|-273.6;-306.1|-282.6;-306.0|-291.0;-306.0|-300.1;-305.9|-308.5;-305.8|-317.2;-305.7|-326.1;-305.6|-335.0;-305.5|-343.7;-305.4|-352.8;-305.2|-361.4;-304.8|-370.0;-303.7|-378.8;-300.8|-386.4;-295.6|-389.9;-290.9|-391.8;-286.6|-392.9;-279.0|-391.9;-269.9,299|285|268|253|235|219|200|182|165|148|132|118|103|88|80|78|78|81|90,100|100|100|100|100|100|99|82|75|65|54|47|34|19|0|0|0|0|0,5|0|0|0|0|0|0|0|0|0|0|0|0|0|15|37|36|58|77,8|8|8|8|7|7|6|6|5|5|4|3|3|2|2|2|2|2|2,0.0010|0.0001|-0.0018|-0.0003|0.0005|0.0005|-0.0006|-0.0004|-0.0013|-0.0036|-0.0095|-0.0343|-0.0911|-0.1462|-0.2027|-0.1692|-0.1265|-0.1092|-0.0695,-0.028;-0.028;-0.028;-0.029|-0.031;-0.031;-0.029;-0.030|-0.034;-0.034;-0.032;-0.031|-0.037;-0.036;-0.035;-0.036|-0.018;-0.018;-0.039;-0.038|-0.046;-0.047;-0.040;-0.039|-0.028;-0.028;-0.050;-0.050|-0.046;-0.046;-0.037;-0.035|-0.039;-0.039;-0.037;-0.033|-0.039;-0.039;-0.031;-0.027|-0.031;-0.030;-0.025;-0.020|-0.026;-0.025;-0.025;-0.016|-0.023;-0.025;-0.058;-0.014|-0.010;-0.019;-0.091;-0.011|0.042;0.001;0.003;0.000|0.195;0.022;0.000;0.001|0.148;0.024;-0.010;0.001|0.078;0.020;-0.001;-0.000|0.186;0.056;-0.003;-0.001,0.010|-0.000|0.001|0.008|-0.009|-0.004|-0.006|0.004|0.012|0.006|0.012|0.007|-0.002|0.014|-0.008|-0.075|-0.336|-0.035|-0.010,-3.95|-3.95|-3.88|-3.79|-3.26|-3.63|-3.31|-2.92|-2.65|-2.31|-1.90|-1.67|-1.36|-1.10|-0.35|0.00|0.03|0.45|0.89
AbuDhabi_Race_Feb01_001_L1,7,False,1,1,0.0,0.0,0,0,1.883,2698.705078125,102,2,44587,2740.92626953125,91,2,45854,2766.936767578125,108,2,46854,1.883,2760.2529296875,100,2,46621,2290,0,72,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,False,False,58|66|63|69,68|66|68|68,68|64|69|68,85|86|88|89,58,30,55,50,2698|2701|2705|2709|2712|2716|2719|2723|2727|2730|2734|2737|2741|2744|2748|2752|2755|2759|2762|2766,44587|44687|44821|44937|45071|45187|45287|45371|45454|45521|45621|45737|45887|46037|46187|46321|46471|46587|46721,-388.8;-260.6|-387.4;-257.6|-385.8;-254.0|-384.6;-250.7|-383.6;-247.4|-383.0;-244.1|-382.7;-240.8|-382.7;-238.5|-382.9;-236.2|-383.1;-234.4|-383.5;-231.8|-384.2;-228.9|-385.5;-225.3|-387.2;-221.9|-389.1;-218.9|-391.5;-215.8|-393.8;-213.2|-396.5;-210.8|-399.4;-208.4,102|105|107|106|105|103|100|98|97|96|94|92|91|92|93|94|96|99|103,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,61|44|28|17|14|10|7|7|7|7|7|16|32|43|42|43|49|63|70,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0.0031|0.0445|0.0977|0.1458|0.1310|0.1634|0.1595|0.1621|0.1537|0.1723|0.1613|0.1617|0.1551|0.1310|0.1082|0.0877|0.0589|0.0458|0.0313,0.181;0.079;-0.002;-0.001|0.020;0.020;-0.001;-0.000|0.004;0.018;-0.000;0.000|0.001;0.020;-0.000;0.002|0.000;0.032;0.000;0.001|0.000;0.043;0.000;0.003|-0.000;0.033;0.001;0.007|-0.003;0.044;0.001;0.001|0.002;0.038;0.022;-0.002|-0.001;0.032;-0.001;0.005|0.002;0.011;0.001;0.022|0.005;0.029;0.001;0.040|0.008;0.024;-0.000;-0.000|0.012;0.049;-0.000;-0.001|0.015;0.073;-0.000;-0.001|0.019;0.108;-0.000;-0.001|0.026;0.099;-0.000;-0.002|0.032;0.072;-0.001;-0.002|0.035;0.049;-0.001;-0.002,-0.013|-0.071|-0.020|-0.007|-0.019|-0.038|0.106|-0.693|0.184|0.018|0.023|0.198|0.169|0.041|0.013|-0.014|0.000|0.014|0.018,0.92|0.64|0.04|-0.24|-0.29|-0.47|-0.42|-0.73|-0.16|-0.55|-0.30|-0.22|0.02|0.20|0.27|0.28|0.52|0.78|0.96
AbuDhabi_Race_Feb01_001_L1,8,True,1,1,0.0,0.0,0,0,1.883,2791.748046875,137,3,47587,2924.300537109375,231,6,50104,3091.7353515625,276,7,52437,2.1,2838.724853515625,179,4,48654,4846,0,100,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,False,66|62|70|70,57|56|72|72,52|52|66|67,84|86|88|89,58,30,55,50,2791|2807|2822|2838|2854|2870|2886|2901|2917|2933|2949|2964|2980|2996|3012|3028|3043|3059|3075|3091,47587|47971|48321|48671|48971|49254|49521|49754|50021|50254|50504|50721|50954|51171|51387|51587|51787|52021|52237,-423.0;-191.8|-435.9;-183.3|-448.7;-174.5|-461.5;-164.8|-473.5;-155.0|-485.0;-144.6|-496.0;-133.8|-506.2;-122.9|-516.4;-111.0|-526.2;-98.3|-534.9;-85.5|-543.3;-72.0|-550.7;-58.9|-557.7;-45.3|-564.5;-31.1|-570.9;-16.7|-576.6;-3.0|-583.1;13.2|-588.6;27.3,137|153|167|179|191|202|212|220|228|235|241|247|252|257|261|264|267|270|273,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,88|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100,3|3|4|4|4|5|5|5|6|6|6|6|6|6|6|7|7|7|7,0.0018|-0.0049|-0.0112|-0.0103|-0.0100|-0.0105|-0.0104|-0.0137|-0.0147|-0.0141|-0.0125|-0.0122|-0.0099|-0.0082|-0.0085|-0.0043|-0.0050|-0.0011|-0.0005,0.047;0.041;-0.001;-0.001|0.044;0.040;-0.001;-0.002|0.056;0.040;-0.001;-0.001|0.046;0.034;-0.001;-0.001|0.049;0.036;-0.001;-0.001|0.042;0.031;-0.001;-0.001|0.036;0.029;-0.001;-0.001|0.037;0.027;-0.001;-0.001|0.043;0.030;-0.001;-0.001|0.033;0.024;-0.001;-0.001|0.032;0.023;-0.001;-0.001|0.031;0.023;-0.001;-0.001|0.027;0.021;-0.001;-0.001|0.025;0.020;-0.001;-0.001|0.020;0.016;-0.000;-0.000|0.018;0.017;-0.000;-0.000|0.017;0.016;-0.000;-0.000|0.017;0.017;-0.000;-0.000|0.017;0.016;-0.000;-0.000,-0.016|0.100|0.029|0.009|-0.010|0.008|0.025|0.008|-0.015|0.002|0.003|0.016|-0.010|-0.022|-0.023|0.002|0.004|0.001|-0.002,0.98|1.44|1.15|1.02|1.14|1.05|0.99|0.91|1.01|0.80|0.77|0.72|0.68|0.64|0.43|0.41|0.40|0.38|0.37
AbuDhabi_Race_Feb01_001_L1,9,False,1,1,3571.185791015625,312,8,58213,2.267,3576.956787109375,309,8,58280,3737.376220703125,157,4,61063,3951.2177734375,223,5,65147,2.567,3741.317138671875,157,4,61130,7432,100,100,16.8,10.4,1,0,0,1,0,0,0,0,0,0,0,False,False,45|46|55|59,73|102|64|80,66|107|77|94,84|86|88|91,58,30,55,50,3571|3596|3615|3635|3655|3674|3694|3714|3733|3753|3773|3792|3812|3832|3851|3871|3891|3910|3930|3951,58280|58513|58797|59113|59463|59813|60197|60580|60980|61413|61813|62230|62630|63013|63397|63746|64130|64480|64830,-718.8;508.5|-720.2;527.7|-720.6;548.3|-718.7;568.2|-714.3;587.1|-707.6;602.6|-697.3;616.5|-684.0;627.1|-667.9;634.1|-649.8;636.6|-631.6;634.2|-614.4;627.2|-599.5;616.4|-587.2;602.7|-577.4;586.3|-571.0;569.1|-567.4;549.4|-567.3;529.6|-570.6;509.3,309|281|243|212|185|165|160|159|158|158|159|163|169|176|184|192|200|207|214,35|100|82|56|44|2|0|0|0|0|0|0|0|0|0|0|0|0|0,51|0|0|0|0|24|60|60|63|67|68|77|81|84|98|100|100|100|100,8|8|7|5|4|4|4|4|4|4|4|4|4|4|4|5|5|5|5,-0.0041|-0.0173|-0.0390|-0.0535|-0.0865|-0.1081|-0.1209|-0.1214|-0.1169|-0.1088|-0.0916|-0.0711|-0.0600|-0.0537|-0.0442|-0.0486|-0.0437|-0.0519|-0.0273,-0.004;-0.004;-0.009;-0.008|-0.032;-0.030;-0.036;-0.027|-0.042;-0.035;-0.173;-0.024|-0.040;-0.033;-0.209;-0.019|-0.055;-0.048;-0.216;-0.017|0.010;0.000;-0.029;-0.001|0.045;0.016;0.001;-0.000|0.043;0.015;0.000;-0.000|0.054;0.018;-0.000;-0.000|0.060;0.021;-0.001;-0.000|0.056;0.021;-0.002;-0.000|0.058;0.024;-0.002;-0.000|0.053;0.025;-0.003;-0.001|0.048;0.022;-0.002;-0.001|0.050;0.027;-0.003;-0.001|0.059;0.028;-0.002;-0.001|0.051;0.027;-0.002;-0.001|0.050;0.027;-0.003;-0.001|0.036;0.025;-0.003;-0.000,0.001|0.069|0.014|-0.027|-0.027|0.001|-0.021|0.006|0.033|0.004|-0.007|0.016|-0.004|-0.037|-0.035|-0.035|-0.030|0.034|0.080,-1.46|-3.95|-3.36|-2.46|-2.20|-0.65|0.01|0.01|0.08|0.19|0.25|0.49|0.60|0.53|0.82|0.69|0.69|0.64|0.82
