session_id,lap_id,track,session_type,lap_number,total_race_laps,position,lap_time,sector1_time,sector2_time,sector3_time,gap_behind_sec,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,tyre_compound,tyre_age_laps,tyre_wear,tyres_in_temp_window_score,tyres_in_optimal_temp_window_score,tyres_in_optimal_carcass_temp_window,ai_difficulty,assists_any,damage_any,weather,time_of_day,drs_activated_count,drs_behind_activations,fuel_load,battery_deployed_total,battery_deployed_overtake,battery_start,battery_end,max_speed_kph,is_first_lap,is_inlap,is_outlap,is_safety_car,time_in_pits_ms,pit_stop_time_ms,track_limits_violations,corner_cutting_warnings,stuck_in_traffic_turn_count,lockups_count,lockups_minor,lockups_medium,lockups_severe,spins_count,spins_minor,spins_medium,spins_severe,damage_fl_wing,damage_fr_wing,damage_rear_wing,damage_body,damage_wheels,damage_terminal,wear_levels,assists_tc,assists_abs,assists_gearbox,assists_racing_line,assists_others,other_assists,assists_simulation_settings,flashback_enabled,flashback_occurred,lap_valid,sectors_invalid,is_complete
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L1,AbuDhabi,Race,1,20,1,1:32.183,21.088,37.425,33.668,1.4,92183,21088,37425,33668,Medium,0,3|5|4|5,78,49,100,75,False,False,Clear,Afternoon,0,0,36.22332763671875,101.2,74.8,100.0,59.5,319,True,False,False,False,0,0,0,0,0,1,1,0,0,2,0,1,1,0,0,0,False,False,False,,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L2,AbuDhabi,Race,2,20,1,1:28.896,18.392,37.153,33.350,2.616,88896,18392,37153,33350,Medium,1,8|9|8|8,82,51,64,75,False,False,Clear,Afternoon,0,2,34.46596908569336,97.2,67.1,59.4,23.2,318,False,False,False,False,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,False,False,False,,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L3,AbuDhabi,Race,3,20,1,1:31.507,19.246,38.665,33.595,1.067,91507,19246,38665,33595,Medium,2,11|15|12|13,83,58,28,75,False,False,Clear,Afternoon,0,1,32.710906982421875,84.5,74.3,23.1,5.4,311,False,False,False,False,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,False,False,False,,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L4,AbuDhabi,Race,4,20,1,1:30.994,18.533,38.672,33.788,0.833,90994,18533,38672,33788,Medium,3,16|20|16|16,83,59,25,75,False,False,Clear,Afternoon,0,2,30.95283317565918,61.6,55.5,5.3,9.2,311,False,False,False,False,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,False,False,False,,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L5,AbuDhabi,Race,5,20,1,1:30.350,18.049,38.136,34.164,0.783,90350,18049,38136,34164,Medium,4,20|25|20|20,86,56,27,75,False,False,Clear,Afternoon,0,2,29.183433532714844,67.5,63.5,9.1,8.2,310,False,False,False,False,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,False,False,False,,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L6,AbuDhabi,Race,6,20,1,1:30.939,18.633,38.575,33.730,1.383,90939,18633,38575,33730,Medium,5,24|30|24|24,83,51,27,75,False,False,Clear,Afternoon,0,2,27.424644470214844,64.8,55.9,8.1,10.4,311,False,False,False,False,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,False,False,False,engine:1,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L7,AbuDhabi,Race,7,20,1,1:30.719,18.427,38.426,33.865,1.7,90719,18427,38426,33865,Medium,6,28|35|27|28,85,63,25,75,False,False,Clear,Afternoon,0,1,25.667524337768555,66.7,59.7,10.4,9.3,310,False,False,False,False,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,False,False,False,engine:1,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L8,AbuDhabi,Race,8,20,1,1:31.725,18.452,39.035,34.238,0.983,91725,18452,39035,34238,Medium,7,32|39|31|32,86,59,27,75,False,False,Clear,Afternoon,0,1,23.913330078125,67.9,64.1,9.2,8.4,311,False,False,False,False,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,False,False,False,engine:1,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L9,AbuDhabi,Race,9,20,1,1:33.453,18.739,38.834,35.879,6.534,93453,18739,38834,35879,Medium,8,36|44|35|36,82,56,27,75,False,False,Clear,Afternoon,0,0,22.23159408569336,60.8,55.7,8.4,15.0,311,False,True,False,False,800,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,False,False,False,engine:1|gearbox:1,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L10,AbuDhabi,Race,10,20,4,1:49.443,37.157,38.096,34.189,3.9160000000000004,109443,37157,38096,34189,Hard,0,1|2|2|2,47,22,17,75,False,False,Clear,Afternoon,2,0,20.584741592407227,69.2,65.9,15.0,13.0,328,False,False,True,False,19401,2562,0,0,11,5,5,0,0,0,0,0,0,0,0,0,False,False,False,engine:1|gearbox:1,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L11,AbuDhabi,Race,11,20,2,1:29.415,18.233,37.936,33.245,12.649000000000001,89415,18233,37936,33245,Hard,1,4|5|4|5,58,25,95,75,False,False,Clear,Afternoon,0,0,18.841890335083008,70.3,65.7,12.9,9.8,311,False,False,False,False,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,False,False,False,engine:1|gearbox:1,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L12,AbuDhabi,Race,12,20,1,1:29.031,18.446,37.522,33.062,12.933,89031,18446,37522,33062,Hard,2,6|9|7|7,65,35,100,75,False,False,Clear,Afternoon,0,0,17.090856552124023,64.6,57.0,9.7,10.3,313,False,False,False,False,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,False,False,False,engine:2|gearbox:1,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L13,AbuDhabi,Race,13,20,1,1:29.807,18.447,37.860,33.499,13.634,89807,18447,37860,33499,Hard,3,9|11|9|10,65,34,100,75,False,False,Clear,Afternoon,0,0,15.354671478271484,68.9,65.6,10.3,6.2,313,False,False,False,False,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,False,False,False,engine:2|gearbox:1,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L14,AbuDhabi,Race,14,20,1,1:29.721,18.335,37.761,33.623,14.684,89721,18335,37761,33623,Hard,4,12|15|12|13,72,38,100,75,False,False,Clear,Afternoon,0,0,13.601552963256836,66.2,62.6,6.2,6.5,311,False,False,False,False,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,False,False,False,engine:2|gearbox:1,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L15,AbuDhabi,Race,15,20,1,1:31.031,18.329,38.765,33.936,14.167,91031,18329,38765,33936,Hard,5,15|19|15|16,73,36,100,75,False,False,Clear,Afternoon,0,0,11.85819149017334,63.2,59.0,6.4,7.3,311,False,False,False,False,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,False,False,False,engine:2|gearbox:1,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L16,AbuDhabi,Race,16,20,1,1:30.647,18.549,38.271,33.827,14.767,90647,18549,38271,33827,Hard,6,18|23|18|18,71,43,100,75,False,False,Clear,Afternoon,0,0,10.10469913482666,64.5,60.4,7.3,8.1,311,False,False,False,False,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,0,False,False,False,engine:2|gearbox:1,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L17,AbuDhabi,Race,17,20,1,1:30.665,18.598,38.530,33.536,15.384,90665,18598,38530,33536,Hard,7,21|27|20|21,69,35,100,75,False,False,Clear,Afternoon,0,0,8.372740745544434,64.2,60.4,8.0,6.8,312,False,False,False,False,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,False,False,False,engine:2|gearbox:1,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L18,AbuDhabi,Race,18,20,1,1:30.550,18.292,38.201,34.056,16.517,90550,18292,38201,34056,Hard,8,24|30|23|24,74,37,100,75,False,False,Clear,Afternoon,0,0,6.644872665405273,64.5,60.4,6.7,8.8,311,False,False,False,False,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,False,False,False,engine:3|gearbox:2,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L19,AbuDhabi,Race,19,20,1,1:31.464,19.222,38.360,33.881,16.15,91464,19222,38360,33881,Hard,9,27|34|26|27,70,45,100,75,False,False,Clear,Afternoon,0,0,4.892021179199219,64.3,60.2,8.8,12.0,310,False,False,False,False,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,False,False,False,engine:3|gearbox:2,0,0,0,0,False,,,0,False,True,,True
AbuDhabi_Race_Feb22_001,AbuDhabi_Race_Feb22_001_L20,AbuDhabi,Race,20,20,1,1:30.938,18.572,38.678,33.687,15.866,90938,18572,38678,33687,Hard,10,30|37|29|30,74,40,100,75,False,False,Clear,Afternoon,0,0,3.14806866645813,67.4,58.3,12.0,6.6,313,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,engine:3|gearbox:2,0,0,0,0,False,,,0,False,True,,True
